Team_Name, Wins_2022,PCT_2022,Wins_2021,PCT_2021,Wins_2020,PCT_2020,Wins_2019,PCT_2019,Wins_2018,PCT_2018,Wins_2017,PCT_2017,Wins_2016,PCT_2016,Wins_2015,PCT_2015,Wins_2014,PCT_2014,Wins_2013,PCT_2013
Heat,38,64,40,56,44,60,39,47,44,54,41,50,48,59,37,45,54,66,66,80
Bulls,38,64,31,43,22,34,22,27,44,54,41,50,42,51,50,61,48,59,45,55
76ers,35,60,49,68,43,59,51,62,52,63,28,34,10,12,18,22,19,23,34,42
Cavaliers,35,60,22,30,19,29,19,23,50,61,51,62,57,70,53,65,33,40,24,29
Bucks,36,60,46,64,56,76,60,73,44,54,42,51,33,40,41,50,15,18,38,46
Celtics,34,57,36,50,48,66,49,60,55,67,53,65,48,59,40,49,25,30,41,51
Raptors,32,56,27,37,53,74,58,70,59,72,51,62,56,68,49,60,48,59,34,42
Nets,31,53,48,66,35,49,42,51,28,34,20,24,21,26,38,46,44,54,49,60
Hawks,28,48,41,57,20,30,29,35,24,29,43,52,48,59,60,73,38,46,44,54
Hornets,29,48,33,45,23,35,39,48,36,44,36,44,48,59,33,40,43,52,27,33
Wizards,27,46,34,47,25,34,32,39,43,52,49,60,41,50,46,56,44,54,29,35
Knicks,25,42,41,57,21,32,17,20,29,35,31,38,32,39,17,21,37,45,54,66
Pacers,20,33,34,47,45,61,48,58,48,58,42,51,45,55,38,46,56,68,49,61
Pistons,13,22,20,28,20,30,41,50,39,48,37,45,44,54,32,39,29,35,29,35
Magic,13,21,21,29,33,45,42,51,25,30,29,35,35,43,25,30,23,28,20,24
Suns,48,83,51,70,34,46,19,23,21,26,24,29,23,28,39,48,48,59,25,31
Warriors,42,71,39,54,15,23,57,69,58,70,67,81,73,89,67,82,51,62,47,57
Grizzlies,41,68,38,53,34,46,33,40,22,27,43,52,42,51,55,67,50,61,56,68
Jazz,36,62,52,72,44,61,50,61,48,58,51,62,40,49,38,46,25,30,43,52
Mavericks,35,59,42,58,43,57,33,40,24,29,33,40,42,51,50,61,49,60,41,50
Nuggets,33,57,47,65,46,63,54,66,46,56,40,49,33,40,30,37,36,44,57,70
Timberwolves,31,52,23,32,19,30,36,44,47,57,31,38,29,35,16,20,40,49,31,38
Clippers,30,49,47,65,49,68,48,58,42,51,51,62,53,65,56,68,57,70,56,68
Lakers,27,46,42,58,52,73,37,45,35,43,26,32,17,20,21,26,27,33,45,55
Trail Blazers,25,42,42,58,35,47,53,65,49,60,41,50,44,54,51,62,54,66,33,40
Spurs,23,39,33,46,32,45,48,59,47,57,61,74,67,82,55,67,62,76,58,71
Pelicans,23,39,31,43,30,42,33,40,48,58,34,41,30,37,45,55,34,42,33,40
Kings,22,37,31,43,31,43,39,48,27,33,32,39,33,40,29,25,28,34,28,34
Thunder,18,31,22,30,44,61,49,60,48,58,47,57,55,67,45,55,59,72,60,73
Rockets,15,26,17,23,44,61,53,65,65,79,55,67,41,50,56,68,54,66,45,55

2012-2013 final season 